from,to,event,routing_key,from_team,to_team
anzeigenverwaltung,jobmensa,anzeige-beendet,anzeigenverwaltung.anzeige-beendet,Jobmensa,Jobmensa
anzeigenverwaltung,jobmensa,anzeige-geschaltet,anzeigenverwaltung.anzeige-geschaltet,Jobmensa,Jobmensa
anzeigenverwaltung,jobsearch,anzeige-geschaltet,anzeigenverwaltung.anzeige-geschaltet,Jobmensa,<Unknown>
anzeigenverwaltung,jobsearch,calendly-team-kalender-ausgewaehlt,anzeigenverwaltung.calendly-team-kalender-ausgewaehlt,Jobmensa,<Unknown>
arbeitnehmerdaten,timetracking,arbeitnehmerdaten-benoetigt,arbeitnehmerdaten.arbeitnehmerdaten-benoetigt,<Unknown>,<Unknown>
arbeitsentgelt,matcheese,stundenlohn-festgelegt,arbeitsentgelt.stundenlohn-festgelegt,Jehovakel,<Unknown>
arbeitsentgelt,shinobi,stundenlohn-festgelegt,arbeitsentgelt.stundenlohn-festgelegt,Jehovakel,Phteinpferd
arbeitsentgelt,shinobi,stundenlohn-geloescht,arbeitsentgelt.stundenlohn-geloescht,Jehovakel,Phteinpferd
arbeitsentgelt,studentenanstellung,stundenlohn-festgelegt,arbeitsentgelt.stundenlohn-festgelegt,Jehovakel,StudentServices
arbeitsentgelt,studentenanstellung,stundenlohn-geloescht,arbeitsentgelt.stundenlohn-geloescht,Jehovakel,StudentServices
arbeitsentgelt,sv-einordnung,arbeitnehmer-abgerechnet,arbeitsentgelt.arbeitnehmer-abgerechnet,Jehovakel,Jehovakel
arbeitszeitbestaetigung,freigabe,abweichende-arbeitszeit-von-unternehmen-erfasst,arbeitszeitbestaetigung.abweichende-arbeitszeit-von-unternehmen-erfasst,Corporate,Jehovakel
arbeitszeitbestaetigung,freigabe,arbeitszeit-von-unternehmen-bestaetigt,arbeitszeitbestaetigung.arbeitszeit-von-unternehmen-bestaetigt,Corporate,Jehovakel
arbeitszeitbestaetigung,freigabe,gesamte-arbeitszeit-von-unternehmen-abgelehnt,arbeitszeitbestaetigung.gesamte-arbeitszeit-von-unternehmen-abgelehnt,Corporate,Jehovakel
arbeitszeitbestaetigung,freigabe,noshow-von-unternehmen-gemeldet,arbeitszeitbestaetigung.noshow-von-unternehmen-gemeldet,Corporate,Jehovakel
assessment,matcheese,sprachkenntnis-bewertet,assessment.sprachkenntnis-bewertet,Phteinpferd,<Unknown>
assessment,matcheese,student-fuer-studitemps-geeignet,assessment.student-fuer-studitemps-geeignet,Phteinpferd,<Unknown>
assessment,matcheese,student-fuer-taetigkeitsfelder-geeignet,assessment.student-fuer-taetigkeitsfelder-geeignet,Phteinpferd,<Unknown>
assessment,matcheese,student-nicht-fuer-studitemps-geeignet,assessment.student-nicht-fuer-studitemps-geeignet,Phteinpferd,<Unknown>
assessment,matcheese,weitere-eigenschaften-bewertet,assessment.weitere-eigenschaften-bewertet,Phteinpferd,<Unknown>
auftragserstellung,einsatzplanung,auftrag-erstellt,auftragserstellung.auftrag-erstellt,Phteinpferd,<Unknown>
auftragserstellung,freigabe,auftrag-erstellt,auftragserstellung.auftrag-erstellt,Phteinpferd,Jehovakel
auftragserstellung,kundenfeedback,auftrag-erstellt,auftragserstellung.auftrag-erstellt,Phteinpferd,Corporate
auftragserstellung,legal,auftrag-erstellt,auftragserstellung.auftrag-erstellt,Phteinpferd,<Unknown>
auftragserstellung,matcheese,auftrag-erstellt,auftragserstellung.auftrag-erstellt,Phteinpferd,<Unknown>
auftragserstellung,rechnungsstellung,auftrag-erstellt,auftragserstellung.auftrag-erstellt,Phteinpferd,Jehovakel
auftragserstellung,schichtbestellung,auftrag-erstellt,auftragserstellung.auftrag-erstellt,Phteinpferd,Corporate
auftragskonfiguration,einsatzplanung,ansprechpartner-fuer-mitarbeiterliste-festgelegt,auftragskonfiguration.ansprechpartner-fuer-mitarbeiterliste-festgelegt,Phteinpferd,<Unknown>
auftragskonfiguration,einsatzplanung,auftrag-geloescht,auftragskonfiguration.auftrag-geloescht,Phteinpferd,<Unknown>
auftragskonfiguration,einsatzplanung,individueller-taetigkeitsprofilname-festgelegt,auftragskonfiguration.individueller-taetigkeitsprofilname-festgelegt,Phteinpferd,<Unknown>
auftragskonfiguration,einsatzplanung,studitemps-ansprechpartner-festgelegt,auftragskonfiguration.studitemps-ansprechpartner-festgelegt,Phteinpferd,<Unknown>
auftragskonfiguration,einsatzplanung,taetigkeitsprofil-festgelegt,auftragskonfiguration.taetigkeitsprofil-festgelegt,Phteinpferd,<Unknown>
auftragskonfiguration,einsatzplanung,unternehmenskontakt-fuer-zeiterfassung-festgelegt,auftragskonfiguration.unternehmenskontakt-fuer-zeiterfassung-festgelegt,Phteinpferd,<Unknown>
auftragskonfiguration,einsatzplanung,zendesk-sell-unternehmen-verknuepft,auftragskonfiguration.zendesk-sell-unternehmen-verknuepft,Phteinpferd,<Unknown>
auftragskonfiguration,freigabe,unternehmensname-hinterlegt,auftragskonfiguration.unternehmensname-hinterlegt,Phteinpferd,Jehovakel
auftragskonfiguration,freigabe,zeiterfassungsart-festgelegt,auftragskonfiguration.zeiterfassungsart-festgelegt,Phteinpferd,Jehovakel
auftragskonfiguration,jobmensa,zeiterfassungsart-festgelegt,auftragskonfiguration.zeiterfassungsart-festgelegt,Phteinpferd,Jobmensa
auftragskonfiguration,kundenfeedback,auftrag-geloescht,auftragskonfiguration.auftrag-geloescht,Phteinpferd,Corporate
auftragskonfiguration,kundenfeedback,individueller-taetigkeitsprofilname-festgelegt,auftragskonfiguration.individueller-taetigkeitsprofilname-festgelegt,Phteinpferd,Corporate
auftragskonfiguration,kundenfeedback,taetigkeitsprofil-festgelegt,auftragskonfiguration.taetigkeitsprofil-festgelegt,Phteinpferd,Corporate
auftragskonfiguration,kundenverwaltung,ansprechpartner-fuer-mitarbeiterliste-festgelegt,auftragskonfiguration.ansprechpartner-fuer-mitarbeiterliste-festgelegt,Phteinpferd,Corporate
auftragskonfiguration,kundenverwaltung,studitemps-ansprechpartner-festgelegt,auftragskonfiguration.studitemps-ansprechpartner-festgelegt,Phteinpferd,Corporate
auftragskonfiguration,kundenverwaltung,unternehmenskontakt-fuer-zeiterfassung-festgelegt,auftragskonfiguration.unternehmenskontakt-fuer-zeiterfassung-festgelegt,Phteinpferd,Corporate
auftragskonfiguration,kundenverwaltung,unternehmenskontakt-hinzugefuegt,auftragskonfiguration.unternehmenskontakt-hinzugefuegt,Phteinpferd,Corporate
auftragskonfiguration,kundenverwaltung,zendesk-sell-unternehmen-verknuepft,auftragskonfiguration.zendesk-sell-unternehmen-verknuepft,Phteinpferd,Corporate
auftragskonfiguration,legal,ansprechpartner-fuer-mitarbeiterliste-festgelegt,auftragskonfiguration.ansprechpartner-fuer-mitarbeiterliste-festgelegt,Phteinpferd,<Unknown>
auftragskonfiguration,legal,individueller-taetigkeitsprofilname-festgelegt,auftragskonfiguration.individueller-taetigkeitsprofilname-festgelegt,Phteinpferd,<Unknown>
auftragskonfiguration,legal,taetigkeitsprofil-festgelegt,auftragskonfiguration.taetigkeitsprofil-festgelegt,Phteinpferd,<Unknown>
auftragskonfiguration,legal,unternehmensname-hinterlegt,auftragskonfiguration.unternehmensname-hinterlegt,Phteinpferd,<Unknown>
auftragskonfiguration,legal,zendesk-sell-unternehmen-verknuepft,auftragskonfiguration.zendesk-sell-unternehmen-verknuepft,Phteinpferd,<Unknown>
auftragskonfiguration,matcheese,auftrag-fuer-rekrutierung-relevant,auftragskonfiguration.auftrag-fuer-rekrutierung-relevant,Phteinpferd,<Unknown>
auftragskonfiguration,matcheese,auftrag-geloescht,auftragskonfiguration.auftrag-geloescht,Phteinpferd,<Unknown>
auftragskonfiguration,matcheese,auftrag-markiert,auftragskonfiguration.auftrag-markiert,Phteinpferd,<Unknown>
auftragskonfiguration,matcheese,auftrag-nicht-fuer-rekrutierung-relevant,auftragskonfiguration.auftrag-nicht-fuer-rekrutierung-relevant,Phteinpferd,<Unknown>
auftragskonfiguration,matcheese,auftragsmarkierung-entfernt,auftragskonfiguration.auftragsmarkierung-entfernt,Phteinpferd,<Unknown>
auftragskonfiguration,matcheese,automatisches-matching-aktiviert,auftragskonfiguration.automatisches-matching-aktiviert,Phteinpferd,<Unknown>
auftragskonfiguration,matcheese,automatisches-matching-deaktiviert,auftragskonfiguration.automatisches-matching-deaktiviert,Phteinpferd,<Unknown>
auftragskonfiguration,matcheese,buchen-von-einsatzzeiten-freigeschaltet,auftragskonfiguration.buchen-von-einsatzzeiten-freigeschaltet,Phteinpferd,<Unknown>
auftragskonfiguration,matcheese,einbuchen-in-schichten-freigeschaltet,auftragskonfiguration.einbuchen-in-schichten-freigeschaltet,Phteinpferd,<Unknown>
auftragskonfiguration,matcheese,freischaltung-fuer-buchen-von-einsatzzeiten-zurueckgezogen,auftragskonfiguration.freischaltung-fuer-buchen-von-einsatzzeiten-zurueckgezogen,Phteinpferd,<Unknown>
auftragskonfiguration,matcheese,freischaltung-fuer-einbuchen-in-schichten-zurueckgezogen,auftragskonfiguration.freischaltung-fuer-einbuchen-in-schichten-zurueckgezogen,Phteinpferd,<Unknown>
auftragskonfiguration,matcheese,individueller-taetigkeitsprofilname-festgelegt,auftragskonfiguration.individueller-taetigkeitsprofilname-festgelegt,Phteinpferd,<Unknown>
