from,to,event,routing_key,from_team,to_team
,anzeigenverwaltung,inbound_domain_events,anzeigenverwaltung.inbound_domain_events,<Unknown>,Jobmensa
,arbeitnehmerverwaltung,#,arbeitnehmerverwaltung.clubhouse.student.#,<Unknown>,Snake
,arbeitnehmerverwaltung,10,arbeitnehmerverwaltung.arbeitnehmerdaten-benoetigt.delay.10,<Unknown>,Snake
,arbeitnehmerverwaltung,arbeitnehmerdaten-benoetigt,arbeitnehmerverwaltung.arbeitnehmerdaten-benoetigt,<Unknown>,Snake
,arbeitnehmerverwaltung,dead,arbeitnehmerverwaltung.arbeitnehmerdaten-benoetigt.dead,<Unknown>,Snake
,arbeitnehmerverwaltung,email-adresse-angegeben,arbeitnehmerverwaltung.studentenstammdaten.email-adresse-angegeben,<Unknown>,Snake
,arbeitnehmerverwaltung,jobvalley-account-angelegt,arbeitnehmerverwaltung.studentenverwaltung.jobvalley-account-angelegt,<Unknown>,Snake
,arbeitnehmerverwaltung,mobilnummer-angegeben,arbeitnehmerverwaltung.studentenstammdaten.mobilnummer-angegeben,<Unknown>,Snake
,arbeitnehmerverwaltung,name-angegeben,arbeitnehmerverwaltung.studentenstammdaten.name-angegeben,<Unknown>,Snake
,arbeitsentgelt,10,arbeitsentgelt.arbeitnehmerdaten-bereitgestellt.delay.10,<Unknown>,Snake
,arbeitsentgelt,arbeitnehmerdaten-bereitgestellt,arbeitsentgelt.arbeitnehmerdaten-bereitgestellt,<Unknown>,Snake
,arbeitsentgelt,arbeitszeit-fuer-payroll-freigegeben,arbeitsentgelt.freigabe.arbeitszeit-fuer-payroll-freigegeben,<Unknown>,Snake
,arbeitsentgelt,arbeitszeit-geloescht,arbeitsentgelt.freigabe.arbeitszeit-geloescht,<Unknown>,Snake
,arbeitsentgelt,auftrag-angelegt,arbeitsentgelt.personalbestellung.auftrag-angelegt,<Unknown>,Snake
,arbeitsentgelt,dead,arbeitsentgelt.arbeitnehmerdaten-bereitgestellt.dead,<Unknown>,Snake
,arbeitsentgelt,einsatzort-festgelegt,arbeitsentgelt.stellenprofil.einsatzort-festgelegt,<Unknown>,Snake
,arbeitszeitbestaetigung,10,arbeitszeitbestaetigung.freigabe.arbeitszeit-abgelehnt.delay.10,<Unknown>,Corporate
,arbeitszeitbestaetigung,arbeitszeit-abgelehnt,arbeitszeitbestaetigung.freigabe.arbeitszeit-abgelehnt,<Unknown>,Corporate
,arbeitszeitbestaetigung,arbeitszeit-durch-stille-zustimmung-von-unternehmen-bestaetigt,arbeitszeitbestaetigung.freigabe.arbeitszeit-durch-stille-zustimmung-von-unternehmen-bestaetigt,<Unknown>,Corporate
,arbeitszeitbestaetigung,arbeitszeit-fuer-billing-freigegeben,arbeitszeitbestaetigung.freigabe.arbeitszeit-fuer-billing-freigegeben,<Unknown>,Corporate
,arbeitszeitbestaetigung,arbeitszeit-geloescht,arbeitszeitbestaetigung.freigabe.arbeitszeit-geloescht,<Unknown>,Corporate
,arbeitszeitbestaetigung,arbeitszeit-von-student-geloescht,arbeitszeitbestaetigung.studentenzeiterfassung.arbeitszeit-von-student-geloescht,<Unknown>,Corporate
,arbeitszeitbestaetigung,bestaetigung-fuer-arbeitszeit-von-unternehmen-angeforder,arbeitszeitbestaetigung.freigabe.bestaetigung-fuer-arbeitszeit-von-unternehmen-angeforder,<Unknown>,Corporate
,arbeitszeitbestaetigung,bestaetigung-fuer-arbeitszeit-von-unternehmen-angefordert,arbeitszeitbestaetigung.freigabe.bestaetigung-fuer-arbeitszeit-von-unternehmen-angefordert,<Unknown>,Corporate
,arbeitszeitbestaetigung,dead,arbeitszeitbestaetigung.freigabe.arbeitszeit-abgelehnt.dead,<Unknown>,Corporate
,arbeitszeitbestaetigung,schicht-angelegt,arbeitszeitbestaetigung.schichtplanung.schicht-angelegt,<Unknown>,Corporate
,arbeitszeitbestaetigung,schicht-entfernt,arbeitszeitbestaetigung.schichtplanung.schicht-entfernt,<Unknown>,Corporate
,auftragskonfiguration,unternehmenskontakt-hinzugefuegt,auftragskonfiguration.unternehmenskontakt-hinzugefuegt,<Unknown>,Phteinpferd
,bewerbung,auf-studitemps-auftrag-beworben,bewerbung.auf-studitemps-auftrag-beworben,<Unknown>,Jobmensa
,clubhouse,contract,clubhouse.employment_contract.jobmensa.contract,<Unknown>,StudentServices
,clubhouse,deleted,clubhouse.jobmensa.documents.deleted,<Unknown>,StudentServices
,clubhouse,rpc,clubhouse.rpc,<Unknown>,StudentServices
,clubhouse,rpc_sequential,clubhouse.rpc_sequential,<Unknown>,StudentServices
,clubhouse,update,clubhouse.kiss.mission_student.update,<Unknown>,StudentServices
,clubhouse,updated,clubhouse.kiss.mission.vbg_types.updated,<Unknown>,StudentServices
,clubhouse,uploaded,clubhouse.jobmensa.documents.uploaded,<Unknown>,StudentServices
,clubhouse,verfuegbarkeiten-angegeben,clubhouse.verfuegbarkeiten-angegeben,<Unknown>,StudentServices
,datateam,datateam,datateam,<Unknown>,<Unknown>
,east,10,east.vertragsverwaltung.self-service-auev-beidseitig-gezeichnet.delay.10,<Unknown>,<Unknown>
,east,dead,east.vertragsverwaltung.self-service-auev-beidseitig-gezeichnet.dead,<Unknown>,<Unknown>
,east,self-service-auev-beidseitig-gezeichnet,east.vertragsverwaltung.self-service-auev-beidseitig-gezeichnet,<Unknown>,<Unknown>
,einsatzplanung,0,einsatzplanung.auftragserstellung.auftrag-erstellt.delay.0,<Unknown>,<Unknown>
,einsatzplanung,10,einsatzplanung.auftragserstellung.auftrag-erstellt.delay.10,<Unknown>,<Unknown>
,einsatzplanung,ansprechpartner-fuer-mitarbeiterliste-festgelegt,einsatzplanung.auftragskonfiguration.ansprechpartner-fuer-mitarbeiterliste-festgelegt,<Unknown>,<Unknown>
,einsatzplanung,anzahl-benoetigter-studenten-in-schicht-erhoeht,einsatzplanung.schichtplanung.anzahl-benoetigter-studenten-in-schicht-erhoeht,<Unknown>,<Unknown>
,einsatzplanung,anzahl-benoetigter-studenten-in-schicht-verringert,einsatzplanung.schichtplanung.anzahl-benoetigter-studenten-in-schicht-verringert,<Unknown>,<Unknown>
,einsatzplanung,auftrag-erstellt,einsatzplanung.auftragserstellung.auftrag-erstellt,<Unknown>,<Unknown>
,einsatzplanung,auftrag-geloescht,einsatzplanung.auftragskonfiguration.auftrag-geloescht,<Unknown>,<Unknown>
,einsatzplanung,dead,einsatzplanung.auftragserstellung.auftrag-erstellt.dead,<Unknown>,<Unknown>
,einsatzplanung,einsatzort-festgelegt,einsatzplanung.stellenprofil.einsatzort-festgelegt,<Unknown>,<Unknown>
,einsatzplanung,erkrankung-gemeldet,einsatzplanung.temping.erkrankung-gemeldet,<Unknown>,<Unknown>
,einsatzplanung,geburtsdatum-angegeben,einsatzplanung.studentenstammdaten.geburtsdatum-angegeben,<Unknown>,<Unknown>
,einsatzplanung,geburtstag-angegeben,einsatzplanung.studentenverwaltung.geburtstag-angegeben,<Unknown>,<Unknown>
,einsatzplanung,individueller-taetigkeitsprofilname-festgelegt,einsatzplanung.auftragskonfiguration.individueller-taetigkeitsprofilname-festgelegt,<Unknown>,<Unknown>
,einsatzplanung,krankmeldung-zurueckgezogen,einsatzplanung.temping.krankmeldung-zurueckgezogen,<Unknown>,<Unknown>
,einsatzplanung,kundenmitarbeiter-aus-filiale-entfernt,einsatzplanung.kundenverwaltung.kundenmitarbeiter-aus-filiale-entfernt,<Unknown>,<Unknown>
,einsatzplanung,kundenmitarbeiter-registriert,einsatzplanung.kundenverwaltung.kundenmitarbeiter-registriert,<Unknown>,<Unknown>
